epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.967,1.11024,1.97727,2.43956,1.20408,0.31596,0.14094,0.12154,0.07054,0.28016,0.1195,0.08747,0.02914,1.35696,4.02431,2.6898,1.50137,0.0670589,0.000332738,0.000332738
2,189.959,1.17349,1.93648,2.11117,1.26234,0.29975,0.29875,0.15878,0.09557,0.29378,0.26509,0.14892,0.0773,1.21516,2.43393,2.54862,1.39826,0.0340457,0.000652883,0.000652883
3,274.576,1.17918,1.92203,2.08561,1.25109,0.4764,0.14947,0.15271,0.09306,0.47303,0.14479,0.14944,0.08659,1.11855,1.71465,2.24056,1.29566,0.00101935,0.000959828,0.000959828
4,359.169,1.14819,1.85587,1.92504,1.23408,0.17732,0.29597,0.20347,0.12878,0.17515,0.29414,0.20056,0.11848,1.07689,1.68614,2.27207,1.29766,0.0009406,0.0009406,0.0009406
5,446.147,1.10169,1.82694,1.85842,1.21739,0.50467,0.2173,0.17922,0.1233,0.50521,0.21735,0.17818,0.10708,0.98738,1.57344,1.9296,1.18977,0.0009208,0.0009208,0.0009208
6,534.778,1.08211,1.78212,1.83739,1.19639,0.56859,0.21511,0.24965,0.14848,0.56872,0.21529,0.24923,0.13108,1.01526,1.59096,1.87767,1.23833,0.000901,0.000901,0.000901
7,616.801,1.064,1.76514,1.84876,1.19486,0.37761,0.34116,0.25239,0.16193,0.38351,0.33973,0.25171,0.14574,0.97571,1.52647,1.94058,1.18678,0.0008812,0.0008812,0.0008812
8,699.042,1.03724,1.69663,1.85568,1.17081,0.52132,0.26655,0.23546,0.15789,0.52506,0.2597,0.23542,0.13753,0.96533,1.46114,2.23327,1.18715,0.0008614,0.0008614,0.0008614
9,781.065,1.01328,1.66153,1.69715,1.1583,0.42472,0.32725,0.25826,0.17114,0.22423,0.37156,0.25577,0.15692,0.93665,1.44388,1.76918,1.1699,0.0008416,0.0008416,0.0008416
10,864.427,1.01889,1.66676,1.74794,1.1705,0.5488,0.36621,0.27052,0.18016,0.54019,0.35536,0.26714,0.16402,0.94898,1.45801,1.94933,1.16999,0.0008218,0.0008218,0.0008218
11,953.402,0.99187,1.61849,1.72521,1.14179,0.57788,0.26619,0.25751,0.17401,0.58036,0.26696,0.25868,0.14978,0.90126,1.41844,1.71078,1.13659,0.000802,0.000802,0.000802
12,1055.9,0.97005,1.61828,1.64656,1.13098,0.7308,0.23758,0.27113,0.18798,0.7451,0.23481,0.27106,0.16706,0.91423,1.36523,1.69631,1.1543,0.0007822,0.0007822,0.0007822
13,1154.36,0.97001,1.62529,1.61548,1.12769,0.37743,0.41006,0.27863,0.19377,0.37633,0.40728,0.27762,0.17951,0.8822,1.41461,1.69505,1.11998,0.0007624,0.0007624,0.0007624
14,1250.56,0.95288,1.60479,1.65642,1.13202,0.56924,0.38851,0.32137,0.22343,0.56888,0.3868,0.32068,0.20235,0.89225,1.38932,1.65105,1.13461,0.0007426,0.0007426,0.0007426
15,1344.02,0.95219,1.51826,1.62871,1.12639,0.471,0.30459,0.3178,0.21764,0.47019,0.2977,0.31783,0.19986,0.9198,1.36976,1.61759,1.14219,0.0007228,0.0007228,0.0007228
16,1439.62,0.93061,1.52992,1.56288,1.10823,0.49823,0.37703,0.32108,0.2365,0.49058,0.35569,0.31903,0.19926,0.86017,1.34638,1.61531,1.10141,0.000703,0.000703,0.000703
17,1530.37,0.90332,1.47729,1.59101,1.09756,0.38646,0.41842,0.27439,0.19241,0.38518,0.41297,0.27197,0.17603,0.86751,1.31642,1.94727,1.11199,0.0006832,0.0006832,0.0006832
18,1622.21,0.93307,1.51708,1.55727,1.11796,0.76253,0.27293,0.29013,0.20374,0.76244,0.27275,0.28768,0.17673,0.8595,1.36812,2.08725,1.11369,0.0006634,0.0006634,0.0006634
19,1713.34,0.90276,1.47742,1.52854,1.09438,0.71046,0.26439,0.30166,0.1991,0.71533,0.26871,0.30247,0.18981,0.861,1.33026,1.58494,1.10843,0.0006436,0.0006436,0.0006436
20,1804.18,0.91659,1.56001,1.59152,1.10456,0.75701,0.29219,0.34262,0.22961,0.75746,0.29053,0.34159,0.20176,0.85765,1.31406,1.65567,1.09788,0.0006238,0.0006238,0.0006238
21,1894.09,0.88768,1.44793,1.4349,1.08526,0.57315,0.33966,0.3182,0.23122,0.56611,0.33369,0.31458,0.19821,0.86184,1.3359,1.66184,1.10915,0.000604,0.000604,0.000604
22,1985.07,0.89185,1.47636,1.50397,1.08196,0.41259,0.40671,0.30741,0.22341,0.41306,0.40439,0.30212,0.19376,0.85851,1.32658,1.59437,1.10287,0.0005842,0.0005842,0.0005842
23,2078.05,0.86378,1.45506,1.47946,1.07901,0.44093,0.43624,0.33278,0.24284,0.45411,0.41679,0.33466,0.22122,0.79922,1.25977,1.54003,1.06885,0.0005644,0.0005644,0.0005644
24,2170.09,0.87655,1.4643,1.46478,1.07823,0.71433,0.33705,0.34858,0.2579,0.71445,0.33723,0.34915,0.22506,0.82565,1.27365,1.78458,1.08171,0.0005446,0.0005446,0.0005446
25,2261.39,0.86717,1.42888,1.48843,1.07265,0.46141,0.40563,0.32943,0.23721,0.45815,0.40303,0.32363,0.21615,0.82379,1.2708,1.50102,1.07919,0.0005248,0.0005248,0.0005248
26,2353.32,0.86572,1.43089,1.44519,1.06975,0.60468,0.38662,0.35494,0.25715,0.61013,0.3814,0.35452,0.23152,0.81607,1.27909,1.49721,1.07646,0.000505,0.000505,0.000505
27,2445,0.83838,1.40217,1.40312,1.06167,0.46208,0.39963,0.35495,0.25459,0.45945,0.39341,0.34905,0.23403,0.8143,1.28012,1.49543,1.07609,0.0004852,0.0004852,0.0004852
28,2536.38,0.8473,1.41388,1.36877,1.06316,0.43622,0.42052,0.3274,0.24228,0.42866,0.41084,0.32246,0.21392,0.81032,1.25365,1.42105,1.07065,0.0004654,0.0004654,0.0004654
29,2627.41,0.84247,1.40976,1.40466,1.05242,0.45973,0.41885,0.35377,0.2642,0.45142,0.39943,0.35084,0.23487,0.78639,1.22241,1.44167,1.04889,0.0004456,0.0004456,0.0004456
30,2718.87,0.82605,1.37218,1.37354,1.05595,0.59854,0.40478,0.3526,0.25042,0.60079,0.40438,0.35115,0.23234,0.80938,1.25581,1.43944,1.06236,0.0004258,0.0004258,0.0004258
31,2810.48,0.81416,1.32188,1.32457,1.04734,0.5043,0.37535,0.3696,0.27323,0.5045,0.36949,0.36309,0.24846,0.79346,1.23494,1.39052,1.05139,0.000406,0.000406,0.000406
32,2900.61,0.82283,1.3595,1.29014,1.04951,0.44403,0.43035,0.36572,0.27442,0.44513,0.43165,0.36355,0.24119,0.78711,1.25127,1.45567,1.05336,0.0003862,0.0003862,0.0003862
